title,rating,ratingPeople,drive,price,habitability,quality,design,fuel
쉐보레 라노스 II,,,,,,,,
쉐보레 라노스,,,,,,,,
쉐보레 레간자,,,,,,,,
쉐보레 레조,,,,,,,,
쉐보레 로얄살롱,,,,,,,,
쉐보레 맵시,,,,,,,,
쉐보레 브로엄,,,,,,,,
쉐보레 슈퍼살롱,,,,,,,,
쉐보레 씨에로,,,,,,,,
쉐보레 임페리얼,,,,,,,,
쉐보레 칼로스,,,,,,,,
르노코리아 더 뉴 QM6,9.2,11,9.4,9.6,9.3,9.1,9.4,8.3
르노코리아 QM6,9.2,11,9.4,9.6,9.3,9.1,9.4,8.3
르노코리아 더 뉴 SM6,8.9,269,9.3,8.4,8.8,8.9,9.6,8.4
르노코리아 SM6,8.9,269,9.3,8.4,8.8,8.9,9.6,8.4
르노코리아 SM5 노바,8,646,8.2,9.1,8.1,8,7.9,6.9
르노코리아 뉴SM5 플래티넘,,,,,,,,
르노코리아 뉴SM5,8,646,8.2,9.1,8.1,8,7.9,6.9
르노코리아 SM5 뉴 임프레션,8.2,748,8.6,8.6,8.6,8.7,8.6,6.4
르노코리아 뉴SM5,8,646,8.2,9.1,8.1,8,7.9,6.9
르노코리아 SM5,8,646,8.2,9.1,8.1,8,7.9,6.9
르노코리아 SM3 네오,8.1,457,7.9,8.6,8,8,8,8.2
르노코리아 SM3 Z.E.,7.7,60,8.4,9.3,7.6,7.7,7.5,5.5
르노코리아 뉴SM3,8.1,457,7.9,8.6,8,8,8,8.2
르노코리아 SM3 뉴 제너레이션,,,,,,,,
르노코리아 SM3,7.7,60,8.4,9.3,7.6,7.7,7.5,5.5
르노코리아 XM3,8.8,1446,8.9,9.1,8.1,8.3,9.5,8.6
르노코리아 SM7 노바,8.4,418,8.6,9.1,8.7,8.4,8.4,7.1
르노코리아 All New SM7,8.4,418,8.6,9.1,8.7,8.4,8.4,7.1
르노코리아 SM7 New Art,,,,,,,,
르노코리아 SM7,8.4,418,8.6,9.1,8.7,8.4,8.4,7.1
르노코리아 뉴QM3,8.4,184,8.5,8.2,7.2,7.9,8.8,9.5
르노코리아 QM3,8.4,184,8.5,8.2,7.2,7.9,8.8,9.5
르노코리아 QM5 네오,8.2,241,8.7,8.5,7.9,8.9,7.9,7.3
르노코리아 뉴QM5,8.2,241,8.7,8.5,7.9,8.9,7.9,7.3
르노코리아 QM5,8.2,241,8.7,8.5,7.9,8.9,7.9,7.3
르노코리아 마스터,,,,,,,,
